,dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,district,Mmm,quarter,fiscal_year
120,14_4,7/1/2019,3460,22968808,0,0,Wanaparthy,Jul,Q2,2019
121,18_1,7/1/2019,5749,74149259,0,0,Nizamabad,Jul,Q2,2019
122,19_2,7/1/2019,2127,22890600,0,0,Nirmal,Jul,Q2,2019
123,21_1,7/1/2019,5892,152570326,0,0,Hanumakonda,Jul,Q2,2019
124,15_1,7/1/2019,29063,1762830038,0,0,Rangareddy,Jul,Q2,2019
125,17_1,7/1/2019,2909,38470965,0,0,Medak,Jul,Q2,2019
126,21_3,7/1/2019,3210,38094533,0,0,Jangoan,Jul,Q2,2019
127,15_3,7/1/2019,2635,31158113,0,0,Vikarabad,Jul,Q2,2019
128,14_1,8/1/2019,4864,73289753,0,0,Mahabubnagar,Aug,Q2,2019
129,17_3,8/1/2019,5798,62277913,0,0,Siddipet,Aug,Q2,2019
130,20_3,8/1/2019,2493,22575950,0,0,Rajanna Sircilla,Aug,Q2,2019
131,21_5,8/1/2019,1648,19611924,0,0,Mahabubabad,Aug,Q2,2019
132,23_1,8/1/2019,7301,88276635,0,0,Nalgonda,Aug,Q2,2019
133,23_3,8/1/2019,7865,113198332,0,0,Yadadri Bhuvanagiri,Aug,Q2,2019
134,20_1,8/1/2019,3784,73473475,0,0,Karimnagar,Aug,Q2,2019
135,20_4,8/1/2019,1842,31819721,0,0,Peddapalli,Aug,Q2,2019
136,16_1,8/1/2019,5956,797295938,0,0,Hyderabad,Aug,Q2,2019
137,14_3,8/1/2019,4164,28291631,0,0,Nagarkurnool,Aug,Q2,2019
138,15_2,8/1/2019,14718,1122098095,0,0,Medchal_Malkajgiri,Aug,Q2,2019
139,21_6,8/1/2019,816,7554861,0,0,Mulugu,Aug,Q2,2019
140,22_2,8/1/2019,833,15008087,0,0,Bhadradri Kothagudem,Aug,Q2,2019
141,20_2,8/1/2019,2497,32248561,0,0,Jagtial,Aug,Q2,2019
142,14_2,8/1/2019,2519,18515918,0,0,Jogulamba Gadwal,Aug,Q2,2019
143,21_2,8/1/2019,1332,18341690,0,0,Warangal,Aug,Q2,2019
144,22_1,8/1/2019,5246,96601052,0,0,Khammam,Aug,Q2,2019
145,17_2,8/1/2019,9685,413909852,0,0,Sangareddy,Aug,Q2,2019
146,23_2,8/1/2019,4144,57763766,0,0,Suryapet,Aug,Q2,2019
147,19_4,8/1/2019,387,5255110,0,0,Kumurambheem Asifabad,Aug,Q2,2019
148,19_3,8/1/2019,1715,30332822,0,0,Mancherial,Aug,Q2,2019
149,18_2,8/1/2019,2710,24438466,0,0,Kamareddy,Aug,Q2,2019
150,19_1,8/1/2019,1124,14955291,0,0,Adilabad,Aug,Q2,2019
151,14_5,8/1/2019,1826,12672060,0,0,Narayanpet,Aug,Q2,2019
152,14_4,8/1/2019,3091,22700059,0,0,Wanaparthy,Aug,Q2,2019
153,18_1,8/1/2019,5062,62483945,0,0,Nizamabad,Aug,Q2,2019
154,19_2,8/1/2019,1523,15199278,0,0,Nirmal,Aug,Q2,2019
155,21_1,8/1/2019,4997,135863416,0,0,Hanumakonda,Aug,Q2,2019
156,15_1,8/1/2019,27288,2010161113,0,0,Rangareddy,Aug,Q2,2019
157,17_1,8/1/2019,2569,31935569,0,0,Medak,Aug,Q2,2019
158,21_3,8/1/2019,2920,35046121,0,0,Jangoan,Aug,Q2,2019
159,15_3,8/1/2019,2197,33431499,0,0,Vikarabad,Aug,Q2,2019
160,14_1,9/1/2019,4281,64062953,0,0,Mahabubnagar,Sep,Q2,2019
161,17_3,9/1/2019,5103,44403848,0,0,Siddipet,Sep,Q2,2019
162,20_3,9/1/2019,2409,21464218,0,0,Rajanna Sircilla,Sep,Q2,2019
163,21_5,9/1/2019,1467,15868051,0,0,Mahabubabad,Sep,Q2,2019
164,23_1,9/1/2019,7337,87408229,0,0,Nalgonda,Sep,Q2,2019
165,23_3,9/1/2019,10060,151915060,0,0,Yadadri Bhuvanagiri,Sep,Q2,2019
166,20_1,9/1/2019,3643,63594054,0,0,Karimnagar,Sep,Q2,2019
167,20_4,9/1/2019,1574,24092340,0,0,Peddapalli,Sep,Q2,2019
168,16_1,9/1/2019,3910,447847595,0,0,Hyderabad,Sep,Q2,2019
169,14_3,9/1/2019,3449,24156093,0,0,Nagarkurnool,Sep,Q2,2019
170,15_2,9/1/2019,12399,1009699757,0,0,Medchal_Malkajgiri,Sep,Q2,2019
171,21_6,9/1/2019,754,6473599,0,0,Mulugu,Sep,Q2,2019
172,22_2,9/1/2019,611,11952990,0,0,Bhadradri Kothagudem,Sep,Q2,2019
173,20_2,9/1/2019,2478,26907074,0,0,Jagtial,Sep,Q2,2019
174,14_2,9/1/2019,1968,12895743,0,0,Jogulamba Gadwal,Sep,Q2,2019
175,21_2,9/1/2019,1171,14836623,0,0,Warangal,Sep,Q2,2019
176,22_1,9/1/2019,4093,81625269,0,0,Khammam,Sep,Q2,2019
177,17_2,9/1/2019,8096,436896437,0,0,Sangareddy,Sep,Q2,2019
178,23_2,9/1/2019,3335,53229881,0,0,Suryapet,Sep,Q2,2019
179,19_4,9/1/2019,280,3056614,0,0,Kumurambheem Asifabad,Sep,Q2,2019
180,19_3,9/1/2019,1632,23754440,0,0,Mancherial,Sep,Q2,2019
181,18_2,9/1/2019,3078,28949349,0,0,Kamareddy,Sep,Q2,2019
182,19_1,9/1/2019,801,15818167,0,0,Adilabad,Sep,Q2,2019
183,14_5,9/1/2019,1778,14008668,0,0,Narayanpet,Sep,Q2,2019
184,14_4,9/1/2019,2624,17206310,0,0,Wanaparthy,Sep,Q2,2019
185,18_1,9/1/2019,4738,54820621,0,0,Nizamabad,Sep,Q2,2019
186,19_2,9/1/2019,1675,15998743,0,0,Nirmal,Sep,Q2,2019
187,21_1,9/1/2019,4960,135703564,0,0,Hanumakonda,Sep,Q2,2019
